x0,x1,x2,x3,x4,x0 x1,x0 x2,x0 x3,x0 x4,x1 x2,x1 x3,x1 x4,x2 x3,x2 x4,x3 x4
0.0,0.4,2.5,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,62.5,0.0
0.0,0.4,2.5,8.0,25.0,0.0,0.0,0.0,0.0,1.0,3.2,10.0,20.0,62.5,200.0
0.0,0.4,2.5,16.0,25.0,0.0,0.0,0.0,0.0,1.0,6.4,10.0,40.0,62.5,400.0
0.0,0.4,2.5,24.0,25.0,0.0,0.0,0.0,0.0,1.0,9.6,10.0,60.0,62.5,600.0
0.0,0.4,2.5,32.0,25.0,0.0,0.0,0.0,0.0,1.0,12.8,10.0,80.0,62.5,800.0
50.0,0.4,2.5,0.0,25.0,20.0,125.0,0.0,1250.0,1.0,0.0,10.0,0.0,62.5,0.0
50.0,0.4,2.5,8.0,25.0,20.0,125.0,400.0,1250.0,1.0,3.2,10.0,20.0,62.5,200.0
50.0,0.4,2.5,16.0,25.0,20.0,125.0,800.0,1250.0,1.0,6.4,10.0,40.0,62.5,400.0
50.0,0.4,2.5,24.0,25.0,20.0,125.0,1200.0,1250.0,1.0,9.6,10.0,60.0,62.5,600.0
50.0,0.4,2.5,32.0,25.0,20.0,125.0,1600.0,1250.0,1.0,12.8,10.0,80.0,62.5,800.0
100.0,0.4,2.5,0.0,25.0,40.0,250.0,0.0,2500.0,1.0,0.0,10.0,0.0,62.5,0.0
100.0,0.4,2.5,8.0,25.0,40.0,250.0,800.0,2500.0,1.0,3.2,10.0,20.0,62.5,200.0
100.0,0.4,2.5,16.0,25.0,40.0,250.0,1600.0,2500.0,1.0,6.4,10.0,40.0,62.5,400.0
100.0,0.4,2.5,24.0,25.0,40.0,250.0,2400.0,2500.0,1.0,9.6,10.0,60.0,62.5,600.0
100.0,0.4,2.5,32.0,25.0,40.0,250.0,3200.0,2500.0,1.0,12.8,10.0,80.0,62.5,800.0
0.0,0.5,3.1,0.0,25.0,0.0,0.0,0.0,0.0,1.55,0.0,12.5,0.0,77.5,0.0
0.0,0.5,3.1,4.5,25.0,0.0,0.0,0.0,0.0,1.55,2.25,12.5,13.95,77.5,112.5
0.0,0.5,3.1,15.0,25.0,0.0,0.0,0.0,0.0,1.55,7.5,12.5,46.5,77.5,375.0
0.0,0.5,3.1,21.0,25.0,0.0,0.0,0.0,0.0,1.55,10.5,12.5,65.10000000000001,77.5,525.0
30.0,0.52,3.03,0.0,25.0,15.6,90.9,0.0,750.0,1.5756,0.0,13.0,0.0,75.75,0.0
30.0,0.52,3.03,4.5,25.0,15.6,90.9,135.0,750.0,1.5756,2.34,13.0,13.635,75.75,112.5
30.0,0.52,3.03,15.0,25.0,15.6,90.9,450.0,750.0,1.5756,7.800000000000001,13.0,45.45,75.75,375.0
30.0,0.52,3.03,21.0,25.0,15.6,90.9,630.0,750.0,1.5756,10.92,13.0,63.63,75.75,525.0
60.0,0.54,2.95,0.0,25.0,32.400000000000006,177.0,0.0,1500.0,1.5930000000000002,0.0,13.5,0.0,73.75,0.0
60.0,0.54,2.95,4.5,25.0,32.400000000000006,177.0,270.0,1500.0,1.5930000000000002,2.43,13.5,13.275,73.75,112.5
60.0,0.54,2.95,15.0,25.0,32.400000000000006,177.0,900.0,1500.0,1.5930000000000002,8.100000000000001,13.5,44.25,73.75,375.0
60.0,0.54,2.95,21.0,25.0,32.400000000000006,177.0,1260.0,1500.0,1.5930000000000002,11.34,13.5,61.95,73.75,525.0
100.0,0.56,2.85,0.0,25.0,56.00000000000001,285.0,0.0,2500.0,1.5960000000000003,0.0,14.000000000000002,0.0,71.25,0.0
100.0,0.56,2.85,4.5,25.0,56.00000000000001,285.0,450.0,2500.0,1.5960000000000003,2.5200000000000005,14.000000000000002,12.825,71.25,112.5
100.0,0.56,2.85,15.0,25.0,56.00000000000001,285.0,1500.0,2500.0,1.5960000000000003,8.4,14.000000000000002,42.75,71.25,375.0
100.0,0.56,2.85,21.0,25.0,56.00000000000001,285.0,2100.0,2500.0,1.5960000000000003,11.760000000000002,14.000000000000002,59.85,71.25,525.0
100.0,0.56,2.85,40.0,25.0,56.00000000000001,285.0,4000.0,2500.0,1.5960000000000003,22.4,14.000000000000002,114.0,71.25,1000.0
0.0,0.41,2.31,0.0,25.0,0.0,0.0,0.0,0.0,0.9471,0.0,10.25,0.0,57.75,0.0
0.0,0.41,2.31,3.0,25.0,0.0,0.0,0.0,0.0,0.9471,1.23,10.25,6.93,57.75,75.0
0.0,0.41,2.31,6.0,25.0,0.0,0.0,0.0,0.0,0.9471,2.46,10.25,13.86,57.75,150.0
0.0,0.41,2.31,9.0,25.0,0.0,0.0,0.0,0.0,0.9471,3.69,10.25,20.79,57.75,225.0
0.0,0.41,2.31,12.0,25.0,0.0,0.0,0.0,0.0,0.9471,4.92,10.25,27.72,57.75,300.0
0.0,0.41,2.31,15.0,25.0,0.0,0.0,0.0,0.0,0.9471,6.15,10.25,34.65,57.75,375.0
0.0,0.41,2.31,18.0,25.0,0.0,0.0,0.0,0.0,0.9471,7.38,10.25,41.58,57.75,450.0
0.0,0.41,2.31,21.0,25.0,0.0,0.0,0.0,0.0,0.9471,8.61,10.25,48.51,57.75,525.0
0.0,0.41,2.31,24.0,25.0,0.0,0.0,0.0,0.0,0.9471,9.84,10.25,55.44,57.75,600.0
30.0,0.41,2.31,0.0,25.0,12.3,69.3,0.0,750.0,0.9471,0.0,10.25,0.0,57.75,0.0
30.0,0.41,2.31,3.0,25.0,12.3,69.3,90.0,750.0,0.9471,1.23,10.25,6.93,57.75,75.0
30.0,0.41,2.31,6.0,25.0,12.3,69.3,180.0,750.0,0.9471,2.46,10.25,13.86,57.75,150.0
30.0,0.41,2.31,9.0,25.0,12.3,69.3,270.0,750.0,0.9471,3.69,10.25,20.79,57.75,225.0
30.0,0.41,2.31,12.0,25.0,12.3,69.3,360.0,750.0,0.9471,4.92,10.25,27.72,57.75,300.0
30.0,0.41,2.31,15.0,25.0,12.3,69.3,450.0,750.0,0.9471,6.15,10.25,34.65,57.75,375.0
30.0,0.41,2.31,18.0,25.0,12.3,69.3,540.0,750.0,0.9471,7.38,10.25,41.58,57.75,450.0
30.0,0.41,2.31,21.0,25.0,12.3,69.3,630.0,750.0,0.9471,8.61,10.25,48.51,57.75,525.0
