x0,x1,x2,x3,x4,x0 x1,x0 x2,x0 x3,x0 x4,x1 x2,x1 x3,x1 x4,x2 x3,x2 x4,x3 x4
30.0,0.0,0.0,0.4,3.17,0.0,0.0,12.0,95.1,0.0,0.0,0.0,0.0,0.0,1.268
30.0,1.0,0.0,0.4,3.17,30.0,0.0,12.0,95.1,0.0,0.4,3.17,0.0,0.0,1.268
30.0,0.1,0.1,0.4,3.17,3.0,3.0,12.0,95.1,0.01,0.04,0.317,0.04,0.317,1.268
30.0,0.25,0.1,0.4,3.17,7.5,3.0,12.0,95.1,0.025,0.1,0.7925,0.04,0.317,1.268
30.0,0.5,0.1,0.4,3.17,15.0,3.0,12.0,95.1,0.05,0.2,1.585,0.04,0.317,1.268
30.0,0.75,0.1,0.4,3.17,22.5,3.0,12.0,95.1,0.075,0.3,2.3775,0.04,0.317,1.268
30.0,1.0,0.1,0.4,3.17,30.0,3.0,12.0,95.1,0.1,0.4,3.17,0.04,0.317,1.268
50.0,0.0,0.0,0.37,3.13,0.0,0.0,18.5,156.5,0.0,0.0,0.0,0.0,0.0,1.1581
50.0,1.0,0.0,0.37,3.13,50.0,0.0,18.5,156.5,0.0,0.37,3.13,0.0,0.0,1.1581
50.0,0.1,0.1,0.37,3.13,5.0,5.0,18.5,156.5,0.01,0.037,0.313,0.037,0.313,1.1581
50.0,0.25,0.1,0.37,3.13,12.5,5.0,18.5,156.5,0.025,0.0925,0.7825,0.037,0.313,1.1581
50.0,0.5,0.1,0.37,3.13,25.0,5.0,18.5,156.5,0.05,0.185,1.565,0.037,0.313,1.1581
50.0,0.75,0.1,0.37,3.13,37.5,5.0,18.5,156.5,0.075,0.2774999999999999,2.3475,0.037,0.313,1.1581
50.0,1.0,0.1,0.37,3.13,50.0,5.0,18.5,156.5,0.1,0.37,3.13,0.037,0.313,1.1581
30.0,0.0,0.0,0.3,2.35,0.0,0.0,9.0,70.5,0.0,0.0,0.0,0.0,0.0,0.705
30.0,1.0,0.0,0.3,2.35,30.0,0.0,9.0,70.5,0.0,0.3,2.35,0.0,0.0,0.705
30.0,0.1,0.1,0.3,2.35,3.0,3.0,9.0,70.5,0.01,0.03,0.235,0.03,0.235,0.705
30.0,0.25,0.1,0.3,2.35,7.5,3.0,9.0,70.5,0.025,0.075,0.5875,0.03,0.235,0.705
30.0,0.5,0.1,0.3,2.35,15.0,3.0,9.0,70.5,0.05,0.15,1.175,0.03,0.235,0.705
30.0,0.75,0.1,0.3,2.35,22.5,3.0,9.0,70.5,0.075,0.2249999999999999,1.7625000000000002,0.03,0.235,0.705
30.0,1.0,0.1,0.3,2.35,30.0,3.0,9.0,70.5,0.1,0.3,2.35,0.03,0.235,0.705
30.0,0.0,0.0,0.4,3.17,0.0,0.0,12.0,95.1,0.0,0.0,0.0,0.0,0.0,1.268
30.0,1.0,0.0,0.4,3.17,30.0,0.0,12.0,95.1,0.0,0.4,3.17,0.0,0.0,1.268
30.0,0.1,0.1,0.4,3.17,3.0,3.0,12.0,95.1,0.01,0.04,0.317,0.04,0.317,1.268
30.0,0.25,0.1,0.4,3.17,7.5,3.0,12.0,95.1,0.025,0.1,0.7925,0.04,0.317,1.268
30.0,0.5,0.1,0.4,3.17,15.0,3.0,12.0,95.1,0.05,0.2,1.585,0.04,0.317,1.268
30.0,0.75,0.1,0.4,3.17,22.5,3.0,12.0,95.1,0.075,0.3,2.3775,0.04,0.317,1.268
30.0,1.0,0.1,0.4,3.17,30.0,3.0,12.0,95.1,0.1,0.4,3.17,0.04,0.317,1.268
30.0,0.0,0.0,0.51,4.75,0.0,0.0,15.3,142.5,0.0,0.0,0.0,0.0,0.0,2.4225
30.0,1.0,0.0,0.51,4.75,30.0,0.0,15.3,142.5,0.0,0.51,4.75,0.0,0.0,2.4225
30.0,0.1,0.1,0.51,4.75,3.0,3.0,15.3,142.5,0.01,0.051,0.475,0.051,0.475,2.4225
30.0,0.25,0.1,0.51,4.75,7.5,3.0,15.3,142.5,0.025,0.1275,1.1875,0.051,0.475,2.4225
30.0,0.5,0.1,0.51,4.75,15.0,3.0,15.3,142.5,0.05,0.255,2.375,0.051,0.475,2.4225
30.0,0.75,0.1,0.51,4.75,22.5,3.0,15.3,142.5,0.075,0.3825,3.5625,0.051,0.475,2.4225
30.0,1.0,0.1,0.51,4.75,30.0,3.0,15.3,142.5,0.1,0.51,4.75,0.051,0.475,2.4225
0.0,0.25,0.1,0.47,2.7,0.0,0.0,0.0,0.0,0.025,0.1175,0.675,0.047,0.27,1.269
0.0,0.5,0.1,0.47,2.7,0.0,0.0,0.0,0.0,0.05,0.235,1.35,0.047,0.27,1.269
0.0,0.75,0.1,0.47,2.7,0.0,0.0,0.0,0.0,0.075,0.3525,2.0250000000000004,0.047,0.27,1.269
0.0,1.0,0.1,0.47,2.7,0.0,0.0,0.0,0.0,0.1,0.47,2.7,0.047,0.27,1.269
30.0,0.25,0.1,0.46,2.64,7.5,3.0,13.8,79.2,0.025,0.115,0.66,0.046,0.264,1.2144
30.0,0.5,0.1,0.46,2.64,15.0,3.0,13.8,79.2,0.05,0.23,1.32,0.046,0.264,1.2144
30.0,0.75,0.1,0.46,2.64,22.5,3.0,13.8,79.2,0.075,0.345,1.98,0.046,0.264,1.2144
30.0,1.0,0.1,0.46,2.64,30.0,3.0,13.8,79.2,0.1,0.46,2.64,0.046,0.264,1.2144
50.0,0.25,0.1,0.45,2.58,12.5,5.0,22.5,129.0,0.025,0.1125,0.645,0.045,0.258,1.161
50.0,0.5,0.1,0.45,2.58,25.0,5.0,22.5,129.0,0.05,0.225,1.29,0.045,0.258,1.161
50.0,0.75,0.1,0.45,2.58,37.5,5.0,22.5,129.0,0.075,0.3375,1.935,0.045,0.258,1.161
50.0,1.0,0.1,0.45,2.58,50.0,5.0,22.5,129.0,0.1,0.45,2.58,0.045,0.258,1.161
70.0,0.25,0.1,0.44,2.52,17.5,7.0,30.8,176.4,0.025,0.11,0.63,0.044,0.252,1.1088
70.0,0.5,0.1,0.44,2.52,35.0,7.0,30.8,176.4,0.05,0.22,1.26,0.044,0.252,1.1088
70.0,0.75,0.1,0.44,2.52,52.5,7.0,30.8,176.4,0.075,0.33,1.89,0.044,0.252,1.1088
70.0,1.0,0.1,0.44,2.52,70.0,7.0,30.8,176.4,0.1,0.44,2.52,0.044,0.252,1.1088
100.0,0.25,0.1,0.43,2.46,25.0,10.0,43.0,246.0,0.025,0.1075,0.615,0.043,0.246,1.0578
100.0,0.5,0.1,0.43,2.46,50.0,10.0,43.0,246.0,0.05,0.215,1.23,0.043,0.246,1.0578
100.0,0.75,0.1,0.43,2.46,75.0,10.0,43.0,246.0,0.075,0.3225,1.845,0.043,0.246,1.0578
100.0,1.0,0.1,0.43,2.46,100.0,10.0,43.0,246.0,0.1,0.43,2.46,0.043,0.246,1.0578
